,City,Cloudiness %,Country,Date,Humidity %,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
0,Butaritari,100,KI,1575768372,95,3.07,172.79,75.85,10.8
1,Bluff,12,AU,1575768373,24,-23.58,149.07,89.94,6.82
2,Den Helder,75,NL,1575768374,87,52.96,4.76,51.01,28.86
3,Chuy,1,UY,1575768375,83,-33.69,-53.46,56.53,7.25
4,Punta Arenas,100,CL,1575768270,81,-53.16,-70.91,46.4,12.75
5,Elko,27,US,1575768378,70,40.83,-115.76,39.99,1.01
6,Kahului,40,US,1575768379,51,20.89,-156.47,84.2,8.05
7,Gbarnga,28,LR,1575768380,94,7.0,-9.47,71.91,2.62
8,Fort Saint James,0,CA,1575768381,87,54.43,-124.25,12.18,1.92
9,Busselton,37,AU,1575768382,63,-33.64,115.35,68.0,4.0
10,Ushuaia,75,AR,1575768290,81,-54.81,-68.31,42.8,33.33
11,Namibe,96,AO,1575768384,75,-15.19,12.15,71.83,7.38
12,Rawson,0,AR,1575768386,72,-43.3,-65.11,58.53,6.6
13,Te Anau,100,NZ,1575768387,73,-45.41,167.72,47.53,8.97
14,Mehamn,94,NO,1575768388,94,71.03,27.85,23.34,1.9
15,Chermoz,100,RU,1575768389,92,58.79,56.15,31.37,10.04
16,Dikson,100,RU,1575768390,99,73.51,80.55,-8.16,11.41
17,Guayaramerin,100,BO,1575768391,70,-10.82,-65.36,81.0,2.86
18,Bontang,41,ID,1575768392,83,0.12,117.47,80.17,3.76
19,Severo-Kurilsk,46,RU,1575768393,80,50.68,156.12,20.98,1.88
20,Kupang,40,ID,1575768394,74,-10.16,123.6,87.8,5.82
21,Bago,57,MM,1575768396,82,17.34,96.48,62.6,5.82
22,Ilulissat,100,GL,1575768397,61,69.22,-51.1,14.0,10.29
23,Sohag,0,EG,1575768398,66,26.55,31.7,53.6,6.93
24,Atuona,99,PF,1575768399,71,-9.8,-139.03,80.42,14.88
25,Koutsouras,0,GR,1575768400,70,35.03,25.95,60.01,5.01
26,Doka,0,SD,1575768401,56,13.52,35.76,73.18,10.13
27,Nikolskoye,90,RU,1575768403,94,59.7,30.79,34.0,6.71
28,Bethel,90,US,1575768396,86,60.79,-161.76,35.6,21.92
29,Vostok,100,RU,1575768405,96,46.45,135.83,-8.19,7.25
30,Hobart,75,AU,1575768406,48,-42.88,147.33,66.0,5.82
31,Hilo,20,US,1575768407,61,19.71,-155.08,80.6,11.41
32,Serenje,100,ZM,1575768408,94,-13.23,30.22,63.84,1.59
33,Karakol,0,KG,1575768409,37,42.49,78.39,23.52,4.52
34,Albany,1,US,1575768400,67,42.65,-73.75,23.0,4.65
35,Livramento,75,BR,1575768411,88,-3.03,-60.18,77.0,5.82
36,Ponta do Sol,87,BR,1575768412,93,-20.63,-46.0,67.44,7.0
37,Lorengau,100,PG,1575768413,70,-2.02,147.27,83.91,6.4
38,Mataura,98,NZ,1575768401,68,-46.19,168.86,57.0,7.0
39,Mitsamiouli,100,KM,1575768416,75,-11.38,43.28,83.34,2.55
40,Thompson,5,CA,1575768417,69,55.74,-97.86,-9.4,10.29
41,Bonthe,10,SL,1575768418,79,7.53,-12.5,79.45,5.48
42,Mecca,0,SA,1575768419,64,21.43,39.83,66.2,4.7
43,Leningradskiy,100,RU,1575768420,98,69.38,178.42,-2.67,24.11
44,College,75,US,1575768421,91,64.86,-147.8,12.0,4.45
45,Manicore,99,BR,1575768422,96,-5.81,-61.3,74.7,2.33
46,Puerto Baquerizo Moreno,75,EC,1575768423,83,-0.9,-89.6,73.4,11.41
47,Vaini,20,IN,1575768424,93,15.34,74.49,64.4,3.36
48,Tasiilaq,58,GL,1575768426,63,65.61,-37.64,26.6,12.75
49,Umm Lajj,0,SA,1575768427,62,25.02,37.27,61.41,5.84
50,Svetlaya,8,RU,1575768428,65,46.54,138.33,5.04,16.84
51,Jamestown,0,AU,1575768429,11,-33.21,138.6,84.51,16.35
52,Rikitea,100,PF,1575768184,72,-23.12,-134.97,74.44,21.39
53,Pochutla,40,MX,1575768431,69,15.74,-96.47,82.4,5.82
54,Makaha,90,US,1575768432,69,21.47,-158.22,82.4,1.14
55,Jalingo,24,NG,1575768433,23,10.3,10.93,68.45,7.07
56,Saint-Philippe,1,CA,1575768435,67,45.36,-73.48,21.0,9.17
57,Sobolevo,100,RU,1575768436,87,54.43,31.9,33.39,15.19
58,Lavrentiya,95,RU,1575768437,90,65.58,-170.99,20.91,37.02
59,Barrow,64,AR,1575768438,38,-38.31,-60.23,64.49,13.15
60,Juazeiro,9,BR,1575768439,39,-9.43,-40.51,84.2,3.36
61,Iqaluit,75,CA,1575768294,66,63.75,-68.52,14.0,14.99
62,Port Augusta,2,AU,1575768441,8,-32.49,137.76,96.8,23.04
63,Gizo,40,IL,1575768443,76,31.8,34.94,57.2,4.7
64,Hofn,90,IS,1575768444,94,64.25,-15.21,32.0,19.46
65,Arman,100,RU,1575768445,74,59.7,150.17,10.53,17.72
66,Ardakan,40,IR,1575768446,61,32.31,54.02,46.4,3.09
67,Tuktoyaktuk,75,CA,1575768447,84,69.44,-133.03,1.4,6.93
68,Paamiut,99,GL,1575768448,50,61.99,-49.67,29.88,1.16
69,Doha,0,QA,1575768449,73,25.29,51.53,69.8,1.12
70,Port Lincoln,100,AU,1575768426,20,-34.72,135.86,86.58,17.22
71,Maniitsoq,81,GL,1575768451,57,65.42,-52.9,16.75,3.69
72,Bredasdorp,81,ZA,1575768452,77,-34.53,20.04,64.4,8.05
73,Kushalgarh,0,IN,1575768453,45,23.2,74.45,60.76,8.75
74,Borogontsy,90,RU,1575768455,94,62.67,131.17,-39.03,4.63
75,Fayetteville,1,US,1575768422,70,36.06,-94.16,46.4,3.36
76,Qaanaaq,0,GL,1575768457,52,77.48,-69.36,-4.2,9.57
77,Mandalgovi,1,MN,1575768458,54,45.76,106.27,17.1,10.29
78,Morris,1,US,1575768459,92,45.59,-95.91,35.6,17.22
79,Kodiak,1,US,1575768460,60,39.95,-94.76,42.01,9.17
80,Talnakh,75,RU,1575768461,85,69.49,88.39,10.4,6.71
81,Castro,30,CL,1575768462,72,-42.48,-73.76,59.0,11.41
82,Aklavik,20,CA,1575768440,76,68.22,-135.01,-5.8,9.17
83,Santa Rosa,31,AR,1575768465,36,-36.62,-64.29,74.07,10.2
84,Cabo San Lucas,40,MX,1575768307,73,22.89,-109.91,77.0,5.82
85,Puerto Ayora,20,EC,1575768324,73,-0.74,-90.35,75.2,18.34
86,Lompoc,90,US,1575768252,87,34.64,-120.46,62.01,3.36
87,Hithadhoo,25,MV,1575768469,78,-0.6,73.08,82.13,11.1
88,Kerema,5,PG,1575768470,55,-7.96,145.78,87.1,5.55
89,Kyabe,48,TD,1575768471,23,9.45,18.94,71.83,4.25
90,Carnarvon,12,ZA,1575768473,63,-30.97,22.13,62.24,13.91
91,Coahuayana,18,MX,1575768474,56,18.62,-100.35,78.13,1.32
92,Cururupu,33,BR,1575768475,85,-1.82,-44.87,75.79,3.58
93,Nome,1,US,1575768476,72,30.04,-94.42,61.0,3.91
94,Port Keats,2,AU,1575768477,63,-14.25,129.55,90.84,11.05
95,Ariyalur,40,IN,1575768478,94,11.14,79.07,73.4,9.04
96,Ust-Maya,58,RU,1575768479,96,60.42,134.54,-44.88,2.19
97,Calvinia,0,ZA,1575768480,53,-31.47,19.78,57.54,3.18
98,Sakaiminato,75,JP,1575768481,75,35.55,133.23,46.4,3.36
99,Kapaa,40,US,1575768482,69,22.08,-159.32,82.4,5.82
100,New Norfolk,75,AU,1575768405,48,-42.78,147.06,66.0,5.82
101,Thessalon,90,CA,1575768485,74,46.26,-83.55,35.6,12.75
102,Klaksvik,100,FO,1575768486,96,62.23,-6.59,37.4,41.38
103,Baruun-Urt,4,MN,1575768487,69,46.68,113.28,11.93,11.74
104,Okhotsk,64,RU,1575768488,69,59.36,143.24,-4.09,15.05
105,Dingle,47,PH,1575768489,87,11.0,122.67,77.74,15.28
106,Jizan,20,SA,1575768490,83,16.89,42.56,78.8,4.9
107,Sao Filipe,1,CV,1575768491,77,14.9,-24.5,69.84,15.95
108,Cape Town,16,ZA,1575768403,72,-33.93,18.42,69.01,16.11
109,Buala,100,SB,1575768494,75,-8.15,159.59,81.73,3.65
110,Gladstone,15,AU,1575768495,48,-23.84,151.26,93.0,10.29
111,Bonnyville,40,CA,1575768496,54,54.27,-110.74,1.4,9.17
112,Lagoa,48,PT,1575768497,93,37.14,-8.45,55.0,2.24
113,Pevek,100,RU,1575768430,96,69.7,170.27,-2.83,5.53
114,Plettenberg Bay,57,ZA,1575768499,83,-34.05,23.37,62.17,2.66
115,Santa Cruz,0,BR,1575768500,88,-6.22,-36.02,73.0,3.27
116,Aksarka,14,RU,1575768501,94,66.56,67.8,-13.14,6.82
117,Monte Carmelo,100,BR,1575768502,91,-18.73,-47.5,69.98,1.54
118,Boca do Acre,98,BR,1575768504,87,-8.76,-67.39,75.88,2.89
119,Mapiripan,83,CO,1575768505,86,2.89,-72.13,75.24,2.77
120,Sinnamary,0,GF,1575768506,78,5.38,-52.96,80.96,10.0
121,Puerto Escondido,40,MX,1575768507,69,15.86,-97.07,80.6,5.82
122,Aromashevo,76,RU,1575768508,94,56.86,68.64,22.73,9.44
123,Grand Gaube,40,MU,1575768509,88,-20.01,57.66,75.0,6.93
124,Port Alfred,71,ZA,1575768510,91,-33.59,26.89,64.99,4.0
125,Port Blair,20,IN,1575768511,65,11.67,92.75,80.6,6.93
126,East London,70,ZA,1575768513,70,-33.02,27.91,67.66,2.33
127,Narsaq,100,GL,1575768514,32,60.91,-46.05,37.4,12.75
128,Kostino,78,BG,1575768515,86,41.7,25.3,45.0,5.82
129,Salalah,75,OM,1575768516,83,17.01,54.1,78.8,2.24
130,Vila Franca do Campo,75,PT,1575768457,77,37.72,-25.43,64.0,4.7
131,Nouadhibou,0,MR,1575768518,77,20.93,-17.03,62.6,23.04
132,Whitehorse,75,CA,1575768420,92,60.72,-135.06,14.0,16.11
133,Avarua,80,CK,1575768405,74,-21.21,-159.78,78.8,14.99
134,Yar-Sale,7,RU,1575768521,96,66.83,70.83,-10.86,8.5
135,Riachao,82,BR,1575768523,67,-7.36,-46.62,78.53,2.57
136,Belmonte,0,PT,1575768524,95,40.36,-7.35,41.0,2.3
137,Mar del Plata,35,AR,1575768504,40,-46.43,-67.52,65.86,2.95
138,Nanortalik,99,GL,1575768412,69,60.14,-45.24,35.91,4.52
139,Jiuquan,56,CN,1575768527,22,39.73,98.49,24.3,7.02
140,Baile Olanesti,90,RO,1575768528,75,45.2,24.23,32.0,3.36
141,Airai,0,TL,1575768529,35,-8.93,125.41,81.84,3.2
142,Conceicao do Araguaia,85,BR,1575768530,72,-8.26,-49.26,79.86,3.11
143,Ostrovnoy,100,RU,1575768531,90,68.05,39.51,28.42,12.28
144,Henties Bay,18,NA,1575768532,87,-22.12,14.28,68.0,1.01
145,Marzuq,72,YE,1575768534,68,14.4,46.47,63.43,1.1
146,Tura,99,RU,1575768479,95,64.27,100.22,3.97,2.89
147,Neuquen,0,AR,1575768324,18,-38.95,-68.06,80.6,3.36
148,Georgetown,20,GY,1575768423,83,6.8,-58.16,80.6,2.24
149,Pisco,90,PE,1575768400,88,-13.71,-76.2,68.0,17.22
150,Sorland,82,NO,1575768539,72,67.67,12.69,38.44,22.15
151,Florianopolis,0,BR,1575768433,77,-27.6,-48.55,71.01,3.36
152,Westport,1,US,1575768541,54,41.14,-73.36,35.6,4.7
153,Tamandare,78,BR,1575768543,82,-8.28,-70.75,75.15,3.0
154,Hermanus,46,ZA,1575768410,86,-34.42,19.24,69.01,4.0
155,Inirida,67,CO,1575768545,92,3.87,-67.92,75.11,0.69
156,Sitka,100,US,1575768546,66,37.17,-99.65,46.99,5.99
157,Jiexiu,0,CN,1575768547,53,37.02,111.92,32.2,8.66
158,Lakes Entrance,69,AU,1575768548,59,-37.88,147.99,66.0,3.0
159,Geraldton,90,CA,1575768549,79,49.72,-86.95,28.4,12.75
160,Otradnoye,90,RU,1575768550,96,59.77,30.8,34.0,6.71
161,Lubao,87,CD,1575768551,95,-5.39,25.75,69.13,2.04
162,Kantunilkin,5,MX,1575768552,83,21.1,-87.49,71.6,4.7
163,Havoysund,96,NO,1575768554,85,71.0,24.66,24.8,9.17
164,Vilhena,100,BR,1575768555,98,-12.74,-60.15,69.93,0.31
165,Axim,67,GH,1575768395,90,4.87,-2.24,75.87,1.54
166,San Patricio,1,PY,1575768557,48,-26.98,-56.83,70.63,4.92
167,Zhezkazgan,90,KZ,1575768401,92,47.8,67.71,17.6,6.71
168,Bilma,97,NE,1575768559,16,18.69,12.92,68.86,6.4
169,Golyshmanovo,57,RU,1575768560,94,56.4,68.37,23.0,10.22
170,Skibbereen,40,IE,1575768562,70,51.55,-9.27,48.2,19.46
171,Waipawa,68,NZ,1575768563,75,-39.94,176.59,68.0,3.0
172,Tessalit,49,ML,1575768564,15,20.2,1.01,64.02,4.99
173,Ribeira Grande,96,PT,1575768405,89,38.52,-28.7,61.72,11.52
174,Araouane,100,ML,1575768566,11,18.9,-3.53,71.78,8.72
175,Shingu,20,JP,1575768434,54,33.72,135.99,53.6,14.99
176,Caravelas,93,BR,1575768470,93,-17.73,-39.27,72.61,9.46
177,Dongsheng,6,CN,1575768569,57,29.72,112.52,45.86,3.11
178,Hajipur,40,IN,1575768570,100,25.69,85.21,57.2,1.1
179,Daura,77,NG,1575768571,14,13.04,8.32,67.51,8.57
180,Victoria,75,BN,1575768572,83,5.28,115.24,82.4,3.36
181,Pangnirtung,4,CA,1575768405,68,66.15,-65.72,-8.21,6.58
182,Vila Velha,20,BR,1575768575,74,-3.71,-38.6,86.0,5.82
183,Fortuna,90,US,1575768441,93,40.6,-124.16,55.99,11.41
184,Uruzgan,0,AF,1575768577,25,32.93,66.63,31.41,5.61
185,Lebu,20,ET,1575768578,81,8.96,38.73,50.0,4.7
186,Vardo,1,US,1575768579,68,39.62,-77.74,33.01,5.55
187,Anadyr,20,RU,1575768580,77,64.73,177.51,3.2,17.9
188,Rundu,73,NA,1575768581,46,-17.91,19.77,73.4,2.24
189,La Union,94,GT,1575768582,1,14.97,-89.29,70.0,4.68
190,Erzurum,84,TR,1575768584,92,39.91,41.27,10.4,2.24
191,Constitucion,5,MX,1575768585,19,23.99,-104.67,69.01,3.36
192,Luderitz,100,NA,1575768586,82,-26.65,15.16,64.4,6.93
193,Torbay,90,CA,1575768402,92,47.66,-52.73,33.01,24.16
194,Jertih,40,MY,1575768588,74,5.74,102.5,80.6,13.87
195,Trinidad,100,BO,1575768589,86,-14.83,-64.9,77.85,3.91
196,Arraial do Cabo,3,BR,1575768590,71,-22.97,-42.02,72.99,7.45
197,Naze,20,NG,1575768592,94,5.43,7.07,77.0,3.8
198,Vawkavysk,100,BY,1575768593,95,53.15,24.45,37.53,11.77
199,Dargaville,54,NZ,1575768594,48,-35.94,173.86,80.06,8.77
200,Kruisfontein,62,ZA,1575768595,93,-34.0,24.73,58.01,3.96
201,Wuwei,54,CN,1575768596,17,37.93,102.64,24.87,5.53
202,Languyan,90,FR,1575768597,93,48.3,-3.83,54.0,21.92
203,Hualmay,63,PE,1575768598,84,-11.1,-77.61,66.0,5.86
204,Yellowknife,75,CA,1575768375,66,62.45,-114.38,-27.0,2.1
205,Carmen,40,PH,1575768376,70,7.36,125.71,86.0,6.93
206,Chute-aux-Outardes,90,CA,1575768602,57,49.12,-68.38,19.0,8.05
207,Wahiawa,90,US,1575768603,69,21.5,-158.02,82.4,1.7
208,San Quintin,0,PH,1575768604,59,17.54,120.52,81.14,17.29
209,Buchanan,40,LR,1575768605,94,5.88,-10.05,75.2,2.21
210,Qasigiannguit,100,GL,1575768606,61,68.82,-51.19,14.0,10.29
211,Cidreira,0,BR,1575768608,67,-30.17,-50.22,69.21,10.51
212,Murgab,90,TM,1575768609,100,37.5,61.97,39.2,6.93
213,Gusau,45,NG,1575768610,20,12.17,6.66,67.15,9.84
214,Queenstown,93,ZA,1575768611,89,-31.89,26.88,57.07,3.13
215,Mayya,48,RU,1575768612,57,61.74,130.28,-45.4,4.47
216,Komsomolskiy,31,RU,1575768614,97,67.55,63.78,-12.21,4.76
217,Cockburn Town,0,TC,1575768456,79,21.46,-71.14,79.43,18.81
218,Amazar,96,RU,1575768616,91,53.86,120.88,-8.39,1.54
219,Myanaung,58,MM,1575768617,60,18.28,95.32,69.06,4.88
220,Kaeo,61,NZ,1575768438,89,-35.1,173.78,80.01,14.9
221,Mawlaik,46,MM,1575768619,57,23.63,94.42,67.71,2.06
222,Souillac,90,FR,1575768621,93,45.6,-0.6,53.6,10.29
223,Baisha,0,CN,1575768622,49,19.23,109.45,60.35,5.88
224,Paka,1,CF,1575768623,72,4.15,15.03,65.86,2.35
225,Itarema,6,BR,1575768624,86,-2.92,-39.92,75.58,4.25
226,Hobyo,100,SO,1575768625,81,5.35,48.53,78.42,11.48
227,George Town,20,MY,1575768626,83,5.42,100.33,80.6,8.05
228,Khatanga,17,RU,1575768627,90,71.98,102.47,-11.6,4.54
229,Tiksi,52,RU,1575768629,79,71.64,128.87,-21.05,6.29
230,Saldanha,31,PT,1575768630,90,41.42,-6.55,41.05,2.53
231,Seoul,1,KR,1575768592,80,37.57,126.98,32.0,3.36
232,Taoudenni,100,ML,1575768632,30,22.68,-3.98,67.35,9.64
233,Kuytun,100,RU,1575768633,91,54.34,101.51,19.6,6.71
234,Saskylakh,0,RU,1575768634,96,71.97,114.09,-10.3,9.35
235,Brae,100,GB,1575768635,93,60.4,-1.35,48.2,18.34
236,Provideniya,98,RU,1575768217,92,64.42,-173.23,11.61,24.81
237,Siniscola,0,IT,1575768638,87,40.57,9.69,53.6,10.29
238,Prudentopolis,51,BR,1575768639,87,-25.21,-50.98,61.74,1.9
239,Lipin Bor,100,RU,1575768640,96,60.26,37.97,32.47,15.01
240,Marawi,51,PH,1575768641,74,8.0,124.29,84.99,4.0
241,Ponnani,40,IN,1575768642,83,10.77,75.93,75.2,5.82
242,Yadrin,100,RU,1575768643,89,55.94,46.2,33.15,17.18
243,Tabou,35,CI,1575768645,95,4.42,-7.36,74.82,3.69
244,Garowe,73,SO,1575768646,89,8.41,48.48,71.29,7.14
245,Flinders,40,AU,1575768647,50,-34.58,150.85,77.0,14.99
246,Coquimbo,90,CL,1575768648,82,-29.95,-71.34,57.2,5.82
247,Ipixuna,15,BR,1575768649,78,-1.76,-48.8,80.6,9.17
248,Harper,1,US,1575768650,54,30.3,-99.24,59.0,6.93
249,Dondo,34,MZ,1575768651,89,-19.62,34.74,70.47,2.89
250,Sungai Petani,20,MY,1575768653,83,5.64,100.49,80.6,8.05
251,Nemuro,75,JP,1575768654,45,43.32,145.57,24.8,18.34
252,Russell,1,US,1575768428,59,38.9,-98.86,46.4,18.34
253,Inhambane,96,MZ,1575768435,79,-23.87,35.38,76.44,6.49
254,Lasa,90,CY,1575768657,66,34.92,32.53,55.4,9.17
255,Mahebourg,40,MU,1575768658,88,-20.41,57.7,75.0,6.93
256,Ilhabela,25,BR,1575768659,79,-23.78,-45.36,71.37,12.84
257,Santo Tomas,40,PH,1575768661,70,7.53,125.62,86.0,6.93
258,Lamesa,1,US,1575768662,57,32.74,-101.95,53.6,8.05
259,Upernavik,100,GL,1575768423,90,72.79,-56.15,10.42,10.83
260,Tuatapere,100,NZ,1575768664,68,-46.13,167.69,55.99,10.0
261,Ornskoldsvik,0,SE,1575768665,74,63.29,18.72,30.2,12.75
262,Shimoda,20,JP,1575768666,58,34.7,138.93,57.0,9.17
263,Faanui,70,PF,1575768667,79,-16.48,-151.75,82.02,14.97
264,Cherskiy,79,RU,1575768668,100,68.75,161.3,-28.1,2.44
265,Kalmunai,100,LK,1575768669,79,7.42,81.82,81.19,17.18
266,Broome,100,GB,1575768671,87,52.47,1.45,51.8,24.16
267,Gamboma,15,CG,1575768672,95,-1.87,15.88,70.59,3.78
268,Lima,90,PE,1575768394,88,-12.06,-77.04,69.8,12.75
269,Panama City,90,US,1575768674,77,30.16,-85.65,64.4,6.93
270,Zvishavane,100,ZW,1575768675,90,-20.32,30.05,65.61,2.53
271,Muros,90,ES,1575768676,100,42.77,-9.06,57.99,5.82
272,Dafeng,0,CN,1575768678,44,33.2,120.46,48.13,6.06
273,Bandarbeyla,1,SO,1575768679,82,9.49,50.81,79.88,12.26
274,Sampit,90,ID,1575768680,81,-2.54,112.95,83.34,2.75
275,Vestmanna,100,FO,1575768681,94,62.16,-7.17,37.4,41.38
276,Denpasar,20,ID,1575768682,74,-8.65,115.22,86.0,4.7
277,Kanniyakumari,0,IN,1575768605,76,8.08,77.57,80.13,27.45
278,Bonavista,93,CA,1575768684,88,48.65,-53.11,30.0,11.99
279,Celestun,0,MX,1575768685,72,20.87,-90.4,77.2,11.01
280,Saint George,75,GR,1575768532,93,39.45,22.34,48.2,1.07
281,Agirish,90,RU,1575768688,97,61.92,63.02,16.25,4.59
282,Christchurch,67,NZ,1575768689,37,-43.53,172.64,72.0,16.11
283,Udachnyy,90,RU,1575768690,83,66.42,112.4,-11.2,2.24
284,Fayaoue,100,NC,1575768691,89,-20.65,166.53,76.73,4.45
285,Jumla,0,NP,1575768692,11,29.28,82.18,40.86,2.06
286,Bambous Virieux,40,MU,1575768693,88,-20.34,57.76,75.0,6.93
287,Ingham,15,AU,1575768694,19,-18.65,146.16,98.96,9.44
288,La Ronge,5,CA,1575768695,76,55.1,-105.3,-5.8,9.17
289,Slave Lake,75,CA,1575768696,84,55.28,-114.77,5.0,5.66
290,Manadhoo,100,MV,1575768698,80,5.77,73.38,83.01,20.24
291,Yerbogachen,100,RU,1575768699,94,61.28,108.01,11.84,7.63
292,Nelson Bay,40,AU,1575768451,51,-32.72,152.14,80.6,14.99
293,Pio XII,23,BR,1575768701,89,-3.89,-45.17,74.75,3.87
294,Hamilton,20,CA,1575768518,79,43.26,-79.87,28.99,3.36
295,Gigmoto,93,PH,1575768703,81,13.78,124.39,80.6,24.63
296,Ormoz,38,SI,1575768704,92,46.41,16.15,30.99,1.12
297,Tazovskiy,37,RU,1575768706,96,67.47,78.7,-9.96,9.33
298,Noumea,96,NC,1575768707,49,-22.28,166.46,93.2,14.99
299,Samarai,23,PG,1575768708,63,-10.62,150.67,84.69,8.61
300,Goreloye,100,RU,1575768709,90,52.92,41.5,36.64,15.35
301,Acapulco,5,MX,1575768452,78,16.86,-99.88,80.6,8.05
302,Yulara,0,AU,1575768474,4,-25.24,130.99,104.0,17.22
303,Rocha,56,UY,1575768712,76,-34.48,-54.34,49.57,4.09
304,Batagay,0,RU,1575768713,89,67.65,134.64,-35.72,1.23
305,Manaira,75,BR,1575768714,74,-7.71,-38.15,75.29,10.47
306,Kaitangata,100,NZ,1575768419,70,-46.28,169.85,55.0,8.01
307,Karratha,0,AU,1575768717,46,-20.74,116.85,89.02,9.44
308,Nileshwar,20,IN,1575768718,94,12.25,75.1,75.2,8.05
309,Kutum,0,SD,1575768719,35,14.2,24.66,55.69,6.98
310,Seguin,1,US,1575768720,62,29.57,-97.96,62.01,4.7
311,Raciu,47,RO,1575768721,80,44.82,25.44,42.01,4.7
312,Marsh Harbour,0,BS,1575768722,69,26.54,-77.06,73.45,13.87
313,Blackwater,100,GB,1575768723,81,51.33,-0.78,53.01,23.04
314,Cochrane,8,CL,1575768612,92,-47.25,-72.57,38.93,5.59
315,Cayenne,0,GF,1575768726,94,4.94,-52.33,75.2,3.27
316,Meulaboh,95,ID,1575768470,82,4.14,96.13,80.01,13.58
